zip,lat,lng
76711,31.51441,-97.15333
76712,31.52401,-97.25565
76798,31.5484,-97.11901
76801,31.7425,-99.03991
76802,31.75327,-98.90283
76820,30.76719,-99.04869
76821,31.7387,-99.93626
76823,31.70119,-99.15992
76824,31.00358,-98.47066
76825,31.10474,-99.39545
76827,31.52636,-99.12819
76828,32.00902,-99.29395
76831,30.63982,-98.91956
76832,30.98539,-98.73036
76834,31.87437,-99.47038
76836,31.42602,-99.55599
76837,31.2208,-99.89594
76841,30.89369,-100.09665
76842,30.95434,-99.07297
76844,31.43787,-98.50904
76845,31.54732,-99.48707
76848,30.84316,-99.56995
76849,30.48896,-99.79705
76852,31.35942,-99.45093
76853,31.24578,-98.38721
76854,30.68565,-99.57564
76856,30.70618,-99.26619
76857,31.93192,-98.93509
76858,31.19745,-99.62051
76859,30.908,-99.83252
76861,31.59103,-100.19533
76862,31.41517,-99.68743
76864,31.5541,-98.73378
76865,31.85815,-100.1663
76866,31.46085,-99.92784
76869,30.91283,-98.99787
76870,31.63824,-98.52981
76871,31.29052,-98.98711
76872,31.32323,-99.16709
76873,31.51108,-99.37924
76874,30.45873,-100.06913
76875,31.60276,-100.00574
76877,31.17246,-98.75694
76878,31.65761,-99.29342
76882,31.81966,-99.70243
76884,31.73029,-99.55325
76885,30.87708,-98.86324
76887,31.01268,-99.16058
76888,31.60827,-99.63989
76890,31.69146,-98.77559
76901,31.54094,-100.62879
76903,31.48482,-100.43723
76904,31.28359,-100.39453
76905,31.50981,-100.32215
76908,31.43208,-100.40222
76930,31.27277,-101.17275
76932,31.26949,-101.54094
76933,31.86341,-100.28783
76934,31.60302,-100.66902
76935,31.08045,-100.41658
76936,30.88566,-100.58752
76937,31.38855,-100.15142
76939,31.27777,-100.55738
76940,31.43903,-100.14294
76941,31.26807,-100.91168
76943,30.53101,-101.30066
76945,31.88095,-100.61152
76949,32.04179,-100.69269
76950,30.43734,-100.56036
76951,31.81488,-101.04641
76953,31.72302,-100.32765
76955,31.28953,-100.15274
76957,31.3722,-100.30507
76958,31.59514,-100.79923
77002,29.75641,-95.3653
77003,29.7493,-95.34582
77004,29.72463,-95.36307
77005,29.71817,-95.4242
77006,29.74107,-95.39133
77007,29.77128,-95.41145
77008,29.7986,-95.41754
77009,29.79504,-95.36747
77010,29.75364,-95.35983
77011,29.74326,-95.30844
77012,29.71893,-95.27429
77013,29.79547,-95.2382
77014,29.9805,-95.46358
77015,29.76437,-95.17346
77016,29.86157,-95.29998
77017,29.68995,-95.25224
77018,29.82693,-95.4259
77019,29.75322,-95.41028
77020,29.77305,-95.3138
77021,29.69711,-95.35744
77022,29.83057,-95.37698
77023,29.72163,-95.31848
77024,29.77083,-95.51166
77025,29.68661,-95.43499
77026,29.8001,-95.32947
77027,29.74024,-95.44588
77028,29.82466,-95.28679
77029,29.76277,-95.26243
77030,29.70629,-95.4026
77031,29.65448,-95.54639
77032,29.96497,-95.3416
77033,29.66723,-95.33702
77034,29.61752,-95.19245
77035,29.65245,-95.47702
77036,29.70167,-95.53594
77037,29.89119,-95.39443
77038,29.9186,-95.44169
77039,29.90926,-95.34118
77040,29.87442,-95.52782
77041,29.86046,-95.58076
77042,29.74115,-95.5606
77043,29.81187,-95.58126
77044,29.8979,-95.17696
77045,29.63571,-95.43306
77046,29.73376,-95.4334
77047,29.60844,-95.38665
77048,29.62042,-95.3303
77049,29.83413,-95.14734
77050,29.90305,-95.2701
77051,29.6562,-95.38015
77053,29.58303,-95.46032
77054,29.68088,-95.40493
77055,29.79764,-95.49174
77056,29.74833,-95.46803
77057,29.74546,-95.48868
77058,29.56283,-95.09287
77059,29.60764,-95.12482
77060,29.93514,-95.39688
77061,29.65377,-95.28422
77062,29.57485,-95.13148
77063,29.73555,-95.52161
77064,29.92218,-95.54705
77065,29.92696,-95.60376
77066,29.95663,-95.50204
77067,29.95272,-95.44687
77068,30.00596,-95.48692
77069,29.9857,-95.52438
77070,29.97776,-95.57315
77071,29.65293,-95.52028
77072,29.69962,-95.58504
77073,29.99985,-95.39953
77074,29.68802,-95.51627
77075,29.62091,-95.26715
77076,29.85962,-95.38351
77077,29.75012,-95.61547
77078,29.853,-95.2516
77079,29.77629,-95.60467
77080,29.8159,-95.52401
77081,29.71205,-95.48116
77082,29.72359,-95.64179
77083,29.69326,-95.6489
77084,29.82641,-95.66214
77085,29.62431,-95.48427
77086,29.91822,-95.49108
77087,29.68612,-95.30343
77088,29.88181,-95.45352
77089,29.58675,-95.22525
77090,30.00863,-95.44388
77091,29.85378,-95.44065
77092,29.82964,-95.47377
77093,29.86227,-95.341
77094,29.76211,-95.67823
77095,29.90819,-95.65323
77096,29.67473,-95.47956
77098,29.73487,-95.41529
77099,29.67076,-95.58512
77201,29.76601,-95.36452
77301,30.30792,-95.43426
77302,30.22236,-95.359
77303,30.37665,-95.38135
77304,30.32957,-95.5141
77306,30.27976,-95.31256
